Pair,JaccardSim,TYC_Similarity,StageGroup
1a,0.251969,0.263243,2
1b,0.275591,0.185079,2
1c,0.253456,0.613475,2
1d,0.225225,0.160098,2
1e,0.348837,0.71583,2
2a,0.338983,0.753391,1
2b,0.340067,0.478374,1
2c,0.281437,0.856069,1
2d,0.353247,0.399887,1
2e,0.162011,0.19763,1
3a,0.135838,0.06632,2
3b,0.283019,0.119688,2
3c,0.165975,0.064859,2
3d,0.278169,0.158025,2
3e,0.227011,0.029289,2
4a,0.19708,0.480407,1
4b,0.296226,0.416219,1
4c,0.357798,0.344946,1
4d,0.315789,0.509214,1
4e,0.207317,0.376966,1
5a,0.291971,0.559755,1
5b,0.253333,0.470083,1
5c,0.335052,0.418098,1
5d,0.282209,0.617884,1
5e,0.327044,0.63548,1
6a,0.101983,0.050193,2
7a,0.227273,0.181217,2
7b,0.239726,0.401873,2
8a,0.183432,0.12656,2
8b,0.266667,0.104464,2
8c,0.274194,0.21131,2
9a,0.161074,0.399829,2
9b,0.069565,0.714099,2
9c,0.284211,0.377513,2
10a,0.354922,0.526671,2
10b,0.400763,0.668301,2
10c,0.404494,0.522605,2